data,db_index,unique,trial_num,ascending_time,descending_time,condition_time
desc,-1,True,29,0.410186767578125,0.42522764205932617,0.09879922866821289
asc,-1,False,29,0.4089200496673584,0.4283261299133301,0.09872055053710938
no_index,no_index,no_index,49,0.4094202518463135,0.17609071731567383,0.33010196685791016
asc,1,True,30,0.4355285167694092,0.19210124015808105,0.34325122833251953
desc,1,True,30,0.19186925888061523,0.41741418838500977,0.1021578311920166
desc,1,False,30,0.3983638286590576,0.4005391597747803,0.09622383117675781
asc,-1,True,30,0.3985617160797119,0.4091794490814209,0.09829068183898926
asc,1,False,30,0.3942122459411621,0.4062004089355469,0.09672856330871582
desc,-1,False,30,0.40220093727111816,0.4154539108276367,0.09696221351623535
desc,-1,True,30,0.415311336517334,0.42790746688842773,0.09777092933654785
asc,-1,False,30,0.4106404781341553,0.4285283088684082,0.10109901428222656
no_index,no_index,no_index,49,0.41901731491088867,0.1764240264892578,0.3324596881866455
asc,1,True,31,0.4370725154876709,0.1897265911102295,0.34232568740844727
desc,1,True,31,0.1935431957244873,0.40568971633911133,0.10354375839233398
desc,1,False,31,0.4041712284088135,0.4024014472961426,0.09879326820373535
asc,-1,True,31,0.4023721218109131,0.4106905460357666,0.09964728355407715
asc,1,False,31,0.39778852462768555,0.41226887702941895,0.09747576713562012
desc,-1,False,31,0.4055290222167969,0.41535520553588867,0.0983572006225586
desc,-1,True,31,0.4097321033477783,0.4274120330810547,0.09808182716369629
asc,-1,False,31,0.41190433502197266,0.43050336837768555,0.10037779808044434
no_index,no_index,no_index,49,0.4139261245727539,0.17615818977355957,0.3326447010040283
asc,1,True,32,0.44033336639404297,0.1862471103668213,0.3466050624847412
desc,1,True,32,0.19567251205444336,0.4087979793548584,0.10180306434631348
desc,1,False,32,0.3980824947357178,0.39934468269348145,0.09902381896972656
asc,-1,True,32,0.40001654624938965,0.4065723419189453,0.09982085227966309
asc,1,False,32,0.4081244468688965,0.3996298313140869,0.09778809547424316
desc,-1,False,32,0.40277814865112305,0.41554951667785645,0.09671735763549805
desc,-1,True,32,0.4104745388031006,0.42736387252807617,0.09972429275512695
asc,-1,False,32,0.4093637466430664,0.4316737651824951,0.09963393211364746
no_index,no_index,no_index,49,0.41390538215637207,0.18334460258483887,0.32338547706604004
asc,1,True,33,0.4320340156555176,0.19533634185791016,0.34368395805358887
desc,1,True,33,0.19257187843322754,0.4202544689178467,0.10409021377563477
desc,1,False,33,0.3986172676086426,0.40517544746398926,0.09665131568908691
asc,-1,True,33,0.40755295753479004,0.41211867332458496,0.1007387638092041
asc,1,False,33,0.40605783462524414,0.4037587642669678,0.09680390357971191
desc,-1,False,33,0.3988766670227051,0.41145896911621094,0.09767627716064453
desc,-1,True,33,0.4151194095611572,0.42067527770996094,0.10371804237365723
asc,-1,False,33,0.4185171127319336,0.4375011920928955,0.09936928749084473
no_index,no_index,no_index,49,0.41298890113830566,0.18300557136535645,0.3275105953216553
asc,1,True,34,0.44399309158325195,0.19122934341430664,0.3430607318878174
desc,1,True,34,0.1928415298461914,0.4136528968811035,0.10376644134521484
desc,1,False,34,0.38715100288391113,0.4096505641937256,0.0977637767791748
asc,-1,True,34,0.4025602340698242,0.40949106216430664,0.10043740272521973
asc,1,False,34,0.4085123538970947,0.40602540969848633,0.09832143783569336
desc,-1,False,34,0.4123811721801758,0.41976356506347656,0.09955120086669922
desc,-1,True,34,0.4194948673248291,0.4252007007598877,0.09924864768981934
asc,-1,False,34,0.41391587257385254,0.43294620513916016,0.10016202926635742
no_index,no_index,no_index,49,0.42496180534362793,0.1748371124267578,0.3232901096343994
asc,1,True,35,0.4380817413330078,0.19132351875305176,0.3440573215484619
desc,1,True,35,0.1937263011932373,0.42745494842529297,0.1035010814666748
desc,1,False,35,0.39452338218688965,0.4096827507019043,0.09951210021972656
asc,-1,True,35,0.402754545211792,0.41665029525756836,0.10127592086791992
asc,1,False,35,0.3967113494873047,0.41127896308898926,0.09772801399230957
desc,-1,False,35,0.41424131393432617,0.4168887138366699,0.09758448600769043
desc,-1,True,35,0.41761326789855957,0.41965222358703613,0.09781551361083984
asc,-1,False,35,0.4226512908935547,0.4304072856903076,0.10029077529907227
no_index,no_index,no_index,49,0.423966646194458,0.17859888076782227,0.3237452507019043
asc,1,True,36,0.4336559772491455,0.19124650955200195,0.34381937980651855
desc,1,True,36,0.19789767265319824,0.4129180908203125,0.10284590721130371
desc,1,False,36,0.4009866714477539,0.4101438522338867,0.10066771507263184
asc,-1,True,36,0.40354108810424805,0.4199252128601074,0.09983468055725098
asc,1,False,36,0.40077853202819824,0.41431570053100586,0.09981036186218262
desc,-1,False,36,0.4126732349395752,0.42115068435668945,0.09949421882629395
desc,-1,True,36,0.4107379913330078,0.43060898780822754,0.09960222244262695
asc,-1,False,36,0.41719913482666016,0.4314582347869873,0.10471224784851074
no_index,no_index,no_index,49,0.4170105457305908,0.1769113540649414,0.3275458812713623
asc,1,True,37,0.4509913921356201,0.19144892692565918,0.3504366874694824
desc,1,True,37,0.20010614395141602,0.40874505043029785,0.10298609733581543
desc,1,False,37,0.39406800270080566,0.410567045211792,0.09821009635925293
asc,-1,True,37,0.41066837310791016,0.41068387031555176,0.09958863258361816
asc,1,False,37,0.402799129486084,0.4103860855102539,0.10197615623474121
desc,-1,False,37,0.4097630977630615,0.4278147220611572,0.0984487533569336
desc,-1,True,37,0.41243743896484375,0.4232056140899658,0.1016850471496582
asc,-1,False,37,0.41446971893310547,0.43489503860473633,0.10069489479064941
no_index,no_index,no_index,49,0.41973233222961426,0.1823744773864746,0.3273482322692871
asc,1,True,38,0.44478940963745117,0.19458818435668945,0.3570873737335205
desc,1,True,38,0.19749712944030762,0.4134368896484375,0.10262012481689453
desc,1,False,38,0.4049563407897949,0.4110889434814453,0.09945893287658691
asc,-1,True,38,0.414684534072876,0.42259860038757324,0.1015012264251709
asc,1,False,38,0.40102505683898926,0.4137094020843506,0.09843707084655762
desc,-1,False,38,0.4163534641265869,0.41651320457458496,0.10065364837646484
desc,-1,True,38,0.4176979064941406,0.432598352432251,0.09911942481994629
asc,-1,False,38,0.4211850166320801,0.4406619071960449,0.10081744194030762
